,artist_name,born_death,estimate,event,lot_number,medium,provenance,signature,size,sold_price,title,year_creation
0,Rembrandt Bugatti ,1884-1916,"USD 300,000 - USD 500,000",nov17,301,bronze with dark brown patina,"Anon. sale, Ader Picard Tajan, Paris, 8 April 1989, lot 30.
Acquired at the above sale by the present owner.","signed, numbered and stamped with foundry mark 'R.Bugatti. (8) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",Height: 15 in. (38 cm.)|Length: 25 1/8 in. (64 cm.)|,"USD 552,500",Deux petits léopards l'un derrière l'autre,Conceived circa 1912
1,Rembrandt Bugatti ,1884-1916,"USD 150,000 - USD 250,000",nov17,302,bronze with brown patina,"Ettore Bugatti, Molsheim, Alsace (brother of the artist).
L'Ebé Bugatti, Château-la-Valière, France (by descent from the above); sale, Hôtel Drouot, Paris, 18 May 1981, lot 117.
Alain Delon, Paris (acquired at the above sale); sale, Sotheby's, London, 4 April 1990, lot 281.
Acquired at the above sale by the present owner.","signed, numbered and stamped with foundry mark 'R Bugatti (1) A.A. HÉBRARD CIRE PERDUE' (on the side)",Height: 6 7/8 in. (17.5 cm.)|Length: 21 5/8 in. (55 cm.)|,"USD 552,500","Serpent, Python royal",Conceived circa 1907
2,Rembrandt Bugatti ,1884-1916,"USD 400,000 - USD 600,000",nov17,303,bronze with brown patina,"Galerie A.A. Hébrard, Paris (by 1934).
Acquired by the present owner, by 1990.","signed, numbered and stamped with foundry mark 'R-Bugatti- (6) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",Height: 15 ¾ in. (40 cm.)|Length: 26 ¾ in. (68 cm.)|,"USD 996,500",Rhinocéros de trois ans,Conceived circa 1909-1910
3,Rembrandt Bugatti ,1884-1916,"USD 300,000 - USD 500,000",nov17,304,bronze with brown patina,"Jean-Henri Jansen, Paris.
Alain Delon, Paris; sale, Sotheby's, London, 4 April 1990, lot 262.
Acquired at the above sale by the present owner.","signed, numbered and stamped with foundry mark 'R Bugatti (4) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",Height: 15 ¾ in. (40 cm.)|Length: 23 5/8 in. (60 cm.)|,"USD 432,500",Jument et son poulain,Conceived in 1907
4,Rembrandt Bugatti ,1884-1916,"USD 500,000 - USD 700,000",nov17,305,bronze with dark brown patina,"Private collection, Paris.
Acquired from the above by the present owner, December 1985.","signed, dated, numbered, inscribed and stamped with foundry mark 'R Bugatti 1903 (3) Paris A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",Height: 24 in. (61 cm.)|Length: 18 ½ in. (47 cm.)|,"USD 732,500","Le grand éléphant du Muséum ""Rachel""",Conceived circa 1903-1904
5,Rembrandt Bugatti ,1884-1916,"USD 800,000 - USD 1,200,000",nov17,306,bronze with brown patina,"Ettore Bugatti, Molsheim, Alsace (acquired from A.A. Hébrard, June 1920).
Roland Bugatti, Paris (by descent from the above).
Anon. sale, Champin and Lombrail, Enghien, 26 October 1980, lot 76.
Acquired at the above sale by the present owner.",signed and stamped with foundry mark 'R Bugatti A.A. HÉBRARD CIRE PERDUE' (on the back of the chariot),Height: 15 ¾ in. (40 cm.)|Length: 102 3/8 in. (260 cm.)|,"USD 1,152,500",Dix minutes de repos ou Le grand fardier,Conceived in 1905 and cast in 1906; unique
6,Rembrandt Bugatti ,1884-1916,"USD 60,000 - USD 80,000",nov17,307,bronze with dark brown patina,"Acquired by the present owner, by 1990.","signed, numbered and stamped with foundry mark 'R Bugatti (1) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",Height: 7 3/8 in. (19 cm.)|Length: 16 7/8 in. (43 cm.)|,"USD 225,000",Brebis mérinos,Conceived circa 1912
7,Léonard Tsuguharu Foujita ,1886-1968,"USD 80,000 - USD 120,000",nov17,308,oil on canvas,"Galerie Paul Pétridès, Paris (1955).
Acquired by the family of the present owner, circa 2000.",signed twice 'Foujita f.' (lower left) and 'Foujita f' (lower right),7 ½ x 5 ½ in. (18 x 14.3 cm.)|,"USD 150,000",Jeune fille sur le toit de Paris,Painted circa 1955
8,Léonard Tsuguharu Foujita ,1886-1968,"USD 200,000 - USD 300,000",nov17,309,oil on canvas,"Lew and Edie Wasserman, Los Angeles (circa 1960); Estate sale, Christie's, New York, 3 November 2011, lot 222.
Acquired at the above sale by the present owner.",signed 'Foujita' (lower left),13 ¾ x 10 ¾ in. (35 x 27.4 cm.)|,"USD 300,000",Jeune fille épluchant des pommes de terre,n/a
9,Léonard Tsuguharu Foujita ,1886-1968,"USD 180,000 - USD 250,000",nov17,310,oil and gold leaf on canvas,"Oscar Fischer, Antwerp and Tel Aviv (by 1929).
Acquired from the above by the present owner.",signed 'Foujita' and signed again in Japanese (lower left),18 1/8 x 25 ½ in. (46.2 x 65 cm.)|,"USD 275,000",Fleurs et papillons,Executed in 1922
10,Léonard Tsuguharu Foujita ,1886-1968,"USD 100,000 - USD 150,000",nov17,311,oil on canvas,"Galerie J.M. Bernard, Paris (acquired from the artist, 1954).
Private collection, Unites States (acquired from the above).
Private collection, United States (by descent from the above); sale, Sotheby's, New York, 3 November 2011, lot 349.
Acquired at the above sale by the present owner.",signed 'Foujita' (lower left); signed again 'Foujita' (on the stretcher),9 ½ x 7 ½ in. (24.2 x 19.1 cm.)|,"USD 137,500",La fillette au ciel bleu,Painted in 1954
11,Léonard Tsuguharu Foujita ,1886-1968,"USD 100,000 - USD 150,000",nov17,312,oil on canvas,"Dominion Gallery, Montreal.
François Dupré, Morges, Switzerland (acquired from the above, circa 1960); Estate sale, Christie's, New York, 2 November 2011, lot 321.
Acquired at the above sale by the present owner.",signed and inscribed 'Foujita Paris' (lower left),9 7/8 x 7 7/8 in. (25.2 x 20 cm.)|,"USD 106,250",Le Médaillon,Painted 1953
12,Léonard Tsuguharu Foujita ,1886-1968,"USD 350,000 - USD 450,000",nov17,313,oil on canvas,"Acquired by the family of the present owner, circa 1975.",signed and dated 'Foujita 1926' and signed again in Japanese (lower right),23 ¾ x 21 ½ in. (60.3 x 54.6 cm.)|,"USD 372,500",Les deux amies,Painted in 1926
13,Léonard Tsuguharu Foujita ,1886-1968,"USD 250,000 - USD 350,000",nov17,314,oil on canvas,"Mr. and Mrs. F. Page Storment, New York (acquired from the artist, 1954); sale, Sotheby's, New York, 3 November 2011, lot 200.
Acquired at the above sale by the present owner.","signed, dated and inscribed 'Foujita Juin 1954 Paris' (lower left); signed, dated and inscribed again 'Foujita 1 Juin 1954 Paris' (on the stretcher)",13 ¾ x 10 5/8 in. (35 x 27 cm.)|,"USD 250,000",Jeune fille avec ses chats,Painted on 1 June 1954
14,Moïse Kisling ,1891-1953,"USD 40,000 - USD 60,000",nov17,315,oil on canvas,"Leopold Zborowski, Paris.
Dominion Gallery, Montreal (by 1947).
Wunderly Gallery, Pennsylvania.
Mrs. Thomas Jameson, Pennsylvania.
Private collection, Pennsylvania (by descent from the above).",signed and dated 'Kisling 1915' (lower left),24 x 19 ¾ in. (61 x 50 cm.)|,"USD 112,500",Portrait d'homme,Painted in 1915
15,Jules Pascin ,1885-1930,"USD 40,000 - USD 60,000",nov17,316,oil and black Conté crayon on canvas,"Perls Galleries, New York.
Mrs. Morris Wenger, Philadelphia.
Anon. sale, Sotheby's, New York, 9 November 1995, lot 301.
Irving Galleries, Palm Beach.
Acquired from the above by the family of the present owner.",signed 'pascin' (lower right),32 1/8 x 25 7/8 in. (81.5 x 65 cm.)|,"USD 50,000",Jeune fille pensive,Executed in 1925
16,Raoul Dufy ,1877-1953,"USD 120,000 - USD 180,000",nov17,317,oil on canvas,"Mr. and Mrs. Peter A. Rübel, New York.
The Museum of Modern Art, New York (gift from the above, 1950).
Perls Galleries, New York (acquired from the above, November 1953).
Werner and Margaret Josten, New York (acquired from the above, by 1975).
By descent from the above to the present owner.",signed 'Raoul Dufy' (lower right),25 5/8 x 31 7/8 in. (65.1 x 80.9 cm.)|,"USD 348,500",La flotte à Villefranche,Painted circa 1926
17,Jean-Pierre Cassigneul ,b. 1935,"USD 50,000 - USD 70,000",nov17,319,oil on canvas,"Galerie Juarez, Inc., Los Angeles.
Private collection, Los Angeles (acquired from the above, circa 1970).
By descent from the above to the present owner.",signed 'CASSIGNEUL.' (lower left),36 1/8 x 28 5/8 in. (91.7 x 72.7 cm.)|,"USD 106,250",Femme en vert,Painted circa 1960
18,Raoul Dufy ,1877-1953,"USD 100,000 - USD 150,000",nov17,320,oil on canvas,"Galerie de l'Elysée (Alex Maguy), Paris.
Dalzell Hatfield Galleries, Los Angeles.
Mrs. H.W. Armstrong, Santa Barbara (acquired from the above, by 1961).
Anon. sale, Sotheby Parke Bernet, Inc., New York, 16 May 1979, lot 266.
Acquired at the above sale by the family of the present owners.",signed 'Raoul Dufy' (lower left),15 x 18 1/8 in. (38 x 46.1 cm.)|,"USD 187,500","L'Hôtel Suisse à Nice et le tournant de ""Rauba Capeu""",Painted circa 1927
19,Maurice de Vlaminck ,1876-1958,"USD 70,000 - USD 100,000",nov17,322,oil on canvas,"Galerie Garnier, Bruges.
R. Deweert, Antwerp.
Anon. sale, Sotheby's, Amsterdam, 27 May 2002, lot 144.
Acquired by the present owner, 2008.",signed 'Vlaminck' (lower right),21 ½ x 28 ¾ in. (54.5 x 73 cm.)|,"USD 87,500",Paysage,Painted circa 1928
20,Maurice Utrillo ,1883-1955,"USD 70,000 - USD 100,000",nov17,323,oil on canvas,"Acquired by the late owners, circa 1965.",signed 'Maurice. Utrillo. V.' (lower right),18 1/8 x 14 7/8 in. (46 x 37.7 cm.)|,"USD 81,250",Rue Saint-Rustique à Montmartre,Painted in 1920
21,Bernard Buffet ,1928-1999,"USD 120,000 - USD 180,000",nov17,324,oil on canvas,"Galerie Maurice Garnier, Paris.
Private collection, Hamburg.
Private collection, Germany; sale, Sotheby's, Paris, 13 December 2007, lot 91.
Acquired at the above sale by the present owner.","signed 'Bernard Buffet' (upper right) and dated '1972' (upper left); titled 'DOUA[R]NENEZ, Les Quais du Grand Port' (on the reverse)",35 3/8 x 51 ¼ in. (89.7 x 130.2 cm.)|,"USD 212,500","Douarnenez, les quais du grand port",Painted in 1972
22,Maurice de Vlaminck ,1876-1958,"USD 40,000 - USD 60,000",nov17,325,oil on canvas,"O.B. James, New York.
Lettie Corlett, Oakland, California.
Maxwell Galleries, San Francisco.
Acquired from the above by the family of the present owner, May 1969.",signed 'Vlaminck' (lower right),18 3/8 x 21 ¾ in. (46.5 x 55.1 cm.)|,"USD 87,500",Eglise sous la neige,Painted circa 1927-1929
23,Georges Rouault ,1871-1958,"USD 100,000 - USD 150,000",nov17,326,oil on paper laid down on canvas,"The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London.
Acquired from the above by the late owner, May 1999.",signed 'G Rouault' (lower right),25 ½ x 19 5/8 in. (64.8 x 49.9 cm.)|,"USD 137,500",Pierrot (à la lune),Painted in 1939
24,Moïse Kisling ,1891-1953,"USD 200,000 - USD 300,000",nov17,327,oil on canvas,"Galerie de l'Elysée (Alex Maguy), Paris.
Mitsukoshi Department Store, Tokyo.
Acquired from the above by the present owner, circa 1971.",signed 'Kisling' (upper right),31 ½ x 50 7/8 in. (80 x 129.3 cm.)|,"USD 510,500",Nu allongé sur un canapé bleu,Painted in 1928
25,Georges Rouault ,1871-1958,"USD 180,000 - USD 250,000",nov17,328,oil on canvas laid down on canvas,"Galerie Max Kaganovitch, Paris.
Acquired from the above by the family of the present owner, 1952.",signed 'G Rouault' (lower right),21 ½ x 16 1/8 in. (57.2 x 41 cm.)|,"USD 348,500",Fille de cirque (Reine de Saba),Painted in 1928-1939
26,Chaïm Soutine ,1893-1943,"USD 700,000 - USD 1,000,000",nov17,329,oil on canvas,"Collection M. R. B., Paris; sale, Hôtel Drouot, Paris, 3 June 1937, lot 22.
Galerie Max Kaganovitch, Paris.
Acquired from the above by the family of the present owner, by 1951.",signed 'Soutine' (lower left),29 ½ x 26 ¼ in. (75 x 66.2 cm.)|,"USD 792,500",L'arbre de Vence,Painted circa 1929
27,Pierre-Auguste Renoir ,1841-1919,"USD 40,000 - USD 60,000",nov17,330,7 5/8 x 6 ½ in. (19.6 x 16.7 cm.),"Ambroise Vollard, Paris (acquired from the artist by 1919).
Eugène Blot, Paris
Galerie Max Kaganovitch, Paris.
Acquired from the above by the family of the present owner.",oil on canvas,,"USD 68,750",Femme nue assise,Painted circa 1900
28,Aristide Maillol ,1861-1944,"USD 35,000 - USD 45,000",nov17,331,bronze with green and brown patina,"Gallery Suzuki, Tokyo.
Acquired from the above by the present owner, 1988.",signed with monogram (on the top of the base); numbered and inscribed with foundry mark '6/6 Alexis.Rudier. Fondeur Paris.' (on the side of the base),Height: 9 ½ in. (24.2 cm.)|Length: 9 1/8 in. (23.1 cm.)|,"USD 81,250",Nymphe assise,Conceived in 1902; this bronze version cast before 1952
29,Auguste Rodin ,1840-1917,"USD 30,000 - USD 50,000",nov17,332,bronze with dark brown and green patina,"Musée Rodin, Paris.
Anon. sale, Sotheby Parke Bernet, Inc., New York, 7 June 1984, lot 21A.
Acquired at the above sale by the present owner.",signed 'A. Rodin' (on the front); inscribed with foundry mark 'Alexis Rudier Fondeur Paris' (on the back),Height: 4 7/8 in. (12.4 cm.)|,"USD 100,000",Etude pour Le Secret,Conceived in 1910; this bronze version cast between 1940-1952
30,Auguste Rodin ,1840-1917,"USD 40,000 - USD 60,000",nov17,333,bronze with dark brown patina,"Musée Rodin, Paris.
Edgardo Acosta Gallery, Beverly Hills (acquired from the above, April 1963).
Anon. sale, Sotheby Parke Bernet, Inc., New York, 7 June 1984, lot 23.
Acquired at the above sale by the present owner.",signed 'A. Rodin' (on the right side); inscribed with foundry mark ' G.Rudier..Fond.Paris.' (on the wrist),Height: 4 5/8 in. (11.8 cm.)|,"USD 51,250","Main droite No 1, petit modèle",Conceived by 1901; this bronze version cast in 1962
31,Eugène Boudin ,1824-1898,"USD 180,000 - USD 250,000",nov17,335,oil on cradled panel,"A.R. Ball, New York (by 1962).
Arthur Tooth & Sons, Ltd., London.
Acquired from the above by the late owner.",signed 'E. Boudin' (lower right) and dated '80' (lower left),5 3/8 x 10 3/8 in. (13.8 x 26.5 cm.)|,"USD 187,500","Trouville, Scène de plage",Painted in 1880
32,Henri Fantin-Latour ,1836-1904,"USD 100,000 - USD 150,000",nov17,336,oil on canvas,"A.M. Heseltine, London.
John P. Heseltine, London (by descent from the above); sale, Sotheby & Co., London, 27 May 1935, lot 33.
Private collection, Scotland.
The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London.
Acquired from the above by the late owner.",signed and dated 'Fantin. 73.' (upper left),12 1/8 x 10 1/8 in. (30.5 x 25.7 cm.)|,"USD 250,000",Fleurs de pommier,Painted in 1873
33,Honoré Daumier ,1808-1879,"USD 200,000 - USD 300,000",nov17,337,10 5/8 x 8 ½ in. (26.9 x 21.6 cm.),"Louis Lemaire, Paris (by 1878 and until at least 1927).
Etienne Bignou, Paris (by 1928).
Sir William Burrell, Glasgow.
Wildenstein & Co., Inc., New York.
A. Conger Goodyear, New York (by 1930).
Dr. Stephen Goodyear, New York (by descent from the above).
Wildenstein & Co., Inc., New York.
Acquired by the family of the present owner, by 1968.",oil and charcoal on cradled panel,,"USD 250,000",Une ronde d'enfants (Enfants dansant en rond—Ronde de jeunes filles),Painted in 1850-1853
34,Édouard Vuillard ,1868-1940,"USD 70,000 - USD 100,000",nov17,339,oil on board laid down on panel,"Estate of the artist.
E.J. van Wisselingh & Co., Amsterdam.
H.P. Doodeheefver, Hilversum, Netherlands (1954).
Anon. sale, Sotheby & Co., London, 1 July 1959, lot 86.
Arthur Tooth & Sons, Ltd., London (acquired at the above sale).
Acquired from the above by the late owner.",stamped twice with signature 'E. Vuillard' (Lugt 2497a; lower left and lower right),12 7/8 x 17 1/8 in. (39.7 x 43.8 cm.)|,"USD 187,500",Quatre personnages devant un parapet,Painted in 1901
35,Pierre-Auguste Renoir ,1841-1919,"USD 500,000 - USD 700,000",nov17,340,oil on canvas,"Estate of the artist.
Bernheim-Jeune et Cie., Paris.
The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London.
Acquired from the above by the late owner, circa 1970.",stamped with signature 'Renoir.' (Lugt 2137b; lower right),13 3/8 x 18 ½ in. (34 x 47 cm.)|,"USD 708,500",Chemin aux Collettes avec tilleul,Painted circa 1914
